"sample_id","sample_lib","vol_per_sample_uL","notes"
"C172215A.1","C",0.129837702871411,"NA"
"C172215A.2","A",0.102261553588987,"NA"
"C172215A.3","B",0.168284789644013,"NA"
"C172215B.1","B",0.179620034542314,"NA"
"C172215B.2","E",0.152046783625731,"NA"
"C172215B.3","F",0.115171650055371,"NA"
"Ostrich1","E",0.823436262866192,"NA"
"NTC1","A",4.43307757885763,"volume needed exceeds volume remaining"
"C172215C.1","D",0.146892655367232,"NA"
"C172215C.2","A",0.146272855133615,"NA"
"C172215C.3","D",0.160493827160494,"NA"
"E272215A.1","A",0.175084175084175,"NA"
"E272215A.2","C",0.123368920521945,"NA"
"E272215A.3","E",0.139223560910308,"NA"
"Ostrich2","C",0.140921409214092,"NA"
"NTC2","C",1.85383244206774,"volume needed exceeds volume remaining"
"E272215B.1","A",0.122931442080378,"NA"
"E272215B.2","A",0.196969696969697,"NA"
"E272215B.3","E",0.275132275132275,"NA"
"E272215C.1","B",0.187387387387387,"NA"
"E272215C.2","B",0.142661179698217,"NA"
"E272215C.3","B",0.122931442080378,"NA"
"Ostrich3","D",0.160493827160494,"NA"
"NTC3","A",5.72057205720572,"volume needed exceeds volume remaining"
"H272415C.1","A",0.18342151675485,"NA"
"H272415C.2","F",0.135947712418301,"NA"
"H272415C.3","D",0.149425287356322,"NA"
"4SP172415A.1","C",0.149425287356322,"NA"
"4SP172415A.2","D",0.118316268486917,"NA"
"4SP172415A.3","F",0.110403397027601,"NA"
"4SP172415B.1","B",0.145658263305322,"NA"
"4SP172415B.2","C",0.128872366790582,"NA"
"4SP172415B.3","D",0.129353233830846,"NA"
"4SP172415C.1","A",0.293785310734463,"NA"
"4SP172415C.2","E",0.11672278338945,"NA"
"4SP172415C.3","F",0.115171650055371,"NA"
"F172415A.1","A",0.138666666666667,"NA"
"F172415A.2","C",0.133848133848134,"NA"
"F172415A.3","C",0.119540229885057,"NA"
"F172415B.1","D",0.138666666666667,"NA"
"F172415B.2","B",0.112920738327904,"NA"
"F172415B.3","C",0.121212121212121,"NA"
"F172415C.1","B",0.17687074829932,"NA"
"F172415C.2","E",0.168284789644013,"NA"
"F172415C.3","E",0.150724637681159,"NA"
"J172515A.1","F",0.123809523809524,"NA"
"J172515A.2","D",0.148148148148148,"NA"
"J172515A.3","A",0.169105691056911,"NA"
"J172515B.1","F",0.148783977110157,"NA"
"J172515B.2","B",0.113289760348584,"NA"
"J172515B.3","C",0.137566137566138,"NA"
"J172515C.1","E",0.218029350104822,"NA"
"J172515C.2","F",0.154074074074074,"NA"
"J172515C.3","B",0.191528545119705,"NA"
"L172615A.1","B",NA,"NA"
"L172615A.2","E",NA,"NA"
"L172615A.3","F",NA,"NA"
"L172615B.1","A",NA,"NA"
"L172615B.2","C",NA,"NA"
"L172615B.3","D",NA,"NA"
"L172615C.1","A",NA,"NA"
"L172615C.2","B",NA,"NA"
"L172615C.3","C",NA,"NA"
"A172615A.1","C",NA,"NA"
"A172615A.2","E",NA,"NA"
"A172615A.3","E",NA,"NA"
"A172615B.1","B",NA,"NA"
"A172615B.2","C",NA,"NA"
"A172615B.3","C",NA,"NA"
"ES28515A.1","E",NA,"NA"
"ES28515A.2","D",NA,"NA"
"ES28515A.3","D",NA,"NA"
"ES28515B.1","D",NA,"NA"
"ES28515B.2","A",NA,"NA"
"ES28515B.3","A",NA,"NA"
"ES2851C.1","B",NA,"NA"
"ES2851C.2","E",NA,"NA"
"ES2851C.3","A",NA,"NA"
"EP18515A.1","F",NA,"NA"
"EP18515A.2","F",NA,"NA"
"EP18515A.3","B",NA,"NA"
"EP18515B.1","E",NA,"NA"
"EP18515B.2","D",NA,"NA"
"EP18515B.3","D",NA,"NA"
"EP18515C.1","D",NA,"NA"
"EP18515C.2","F",NA,"NA"
"EP18515C.3","A",NA,"NA"
"D28515A.1","D",NA,"NA"
"D28515A.2","A",NA,"NA"
"D28515A.3","A",NA,"NA"
"GP18615A.1","F",NA,"NA"
"GP18615A.2","D",NA,"NA"
"GP18615A.3","E",NA,"NA"
"GP18615B.1","F",NA,"NA"
"GP18615B.2","F",NA,"NA"
"GP18615B.3","E",NA,"NA"
"GP18615C.1","A",NA,"NA"
"GP18615C.2","B",NA,"NA"
"GP18615C.3","F",NA,"NA"
"GP28615A.1","E",NA,"NA"
"GP28615A.2","F",NA,"NA"
"GP28615A.3","B",NA,"NA"
"C28715C.1","B",NA,"NA"
"C28715C.2","D",NA,"NA"
"C28715C.3","C",NA,"NA"
"H18715A.1","E",NA,"NA"
"H18715A.2","F",NA,"NA"
"H18715A.3","A",NA,"NA"
"7MM198815C.1","A",NA,"NA"
"7MM198815C.2","D",NA,"NA"
"7MM198815C.3","F",NA,"NA"
"A18815A.1","D",NA,"NA"
"A18815A.2","F",NA,"NA"
"A18815A.3","D",NA,"NA"
"A18815B.1","E",NA,"NA"
"A18815B.2","C",NA,"NA"
"A18815B.3","D",NA,"NA"
"A18815C.1","A",NA,"NA"
"A18815C.2","C",NA,"NA"
"A18815C.3","F",NA,"NA"
"K18815A.1","E",NA,"NA"
"K18815A.2","A",NA,"NA"
"K18815A.3","B",NA,"NA"
"K18815B.1","C",NA,"NA"
"K18815B.2","C",NA,"NA"
"K18815B.3","C",NA,"NA"
"2MH1981915B.1","E",NA,"NA"
"2MH1981915B.2","C",NA,"NA"
"2MH1981915B.3","D",NA,"NA"
"2MH1981915C.1","B",NA,"NA"
"2MH1981915C.2","B",NA,"NA"
"2MH1981915C.3","A",NA,"NA"
"F282015A.1","A",NA,"NA"
"F282015A.2","C",NA,"NA"
"F282015A.3","F",NA,"NA"
"F282015B.1","D",NA,"NA"
"F282015B.2","B",NA,"NA"
"F282015B.3","F",NA,"NA"
"F282015C.1","F",NA,"NA"
"F282015C.2","D",NA,"NA"
"F282015C.3","F",NA,"NA"
"1DM1982215A.1","E",NA,"NA"
"1DM1982215A.2","B",NA,"NA"
"1DM1982215A.3","E",NA,"NA"
"1DM1982215B.1","A",NA,"NA"
"1DM1982215B.2","C",NA,"NA"
"1DM1982215B.3","F",NA,"NA"
"1DM1982215C.1","E",NA,"NA"
"1DM1982215C.2","F",NA,"NA"
"1DM1982215C.3","D",NA,"NA"
"1SM1982215A.1","E",NA,"NA"
"1SM1982215A.2","A",NA,"NA"
"1SM1982215A.3","B",NA,"NA"
"1SM1982215B.1","E",NA,"NA"
"1SM1982215B.2","D",NA,"NA"
"1SM1982215B.3","D",NA,"NA"
"1MH1882215A.1","E",NA,"NA"
"1MH1882215A.2","D",NA,"NA"
"1MH1882215A.3","C",NA,"NA"
"1MH1882215B.1","B",NA,"NA"
"1MH1882215B.2","F",NA,"NA"
"1MH1882215B.3","E",NA,"NA"
"1MH1882215C.1","C",NA,"NA"
"1MH1882215C.2","B",NA,"NA"
"1MH1882215C.3","D",NA,"NA"
